component_id,excel_row,source,plant_name,original_district,allocated_district,balancing_area,original_capacity_mw,allocation_share,allocated_capacity_mw,allocation_method,source_url,confidence,notes
tamil_nadu_n_a_251__aggregate_01,182.0,Solar,Tamil Nadu N.A. 251,Statewide / multiple districts,Tiruvannamalai,Villupuram,251.0,0.008619979800100593,2.1636149298252487,"Hybrid utility-scale target: supplied OSM/Overpass plant footprints and MW tags, calibrated at 49.71 MW/km² for untagged plants; official district-handbook capacities used as lower-bound anchors; residual normalized after retaining directly allocated ICED capacity",https://www.openstreetmap.org/copyright | Tamil Nadu district statistical handbooks (see Solar District Evidence),Medium,This is a modelled distribution of an ICED statewide residual. It preserves the source-row total and avoids treating resource potential as installed capacity.
tamil_nadu_n_a_251__aggregate_01,182.0,Solar,Tamil Nadu N.A. 251,Statewide / multiple districts,Vellore,Vellore,251.0,0.006236202963066413,1.5652869437296697,"Hybrid utility-scale target: supplied OSM/Overpass plant footprints and MW tags, calibrated at 49.71 MW/km² for untagged plants; official district-handbook capacities used as lower-bound anchors; residual normalized after retaining directly allocated ICED capacity",https://www.openstreetmap.org/copyright | Tamil Nadu district statistical handbooks (see Solar District Evidence),Medium,This is a modelled distribution of an ICED statewide residual. It preserves the source-row total and avoids treating resource potential as installed capacity.
tamil_nadu_n_a_251__aggregate_01,182.0,Solar,Tamil Nadu N.A. 251,Statewide / multiple districts,Virudhunagar,Tirunelveli,251.0,0.107788089811892,27.054810542784892,"Hybrid utility-scale target: supplied OSM/Overpass plant footprints and MW tags, calibrated at 49.71 MW/km² for untagged plants; official district-handbook capacities used as lower-bound anchors; residual normalized after retaining directly allocated ICED capacity",https://www.openstreetmap.org/copyright | Tamil Nadu district statistical handbooks (see Solar District Evidence),Medium,This is a modelled distribution of an ICED statewide residual. It preserves the source-row total and avoids treating resource potential as installed capacity.
tamil_nadu_n_a_off_grid_75_91__aggregate_01,183.0,Solar,Tamil Nadu N.A. Off -grid 75.91,Statewide / multiple districts,Ariyalur,Trichy,75.91,0.002455128357924344,0.18636879365003692,PM Surya Ghar district installation share used as a dispersed-small-system proxy because no complete district-level off-grid inventory was located,https://sansad.in/getFile/lsapps/loksabhaquestions/annex/188/AS59_dKLc7G.pdf?source=lsapps,Low,Off-grid capacity is only 75.91 MW. This allocation is explicitly a proxy and should be replaced if a district PM-KUSUM/off-grid inventory becomes available.
tamil_nadu_n_a_off_grid_75_91__aggregate_01,183.0,Solar,Tamil Nadu N.A. Off -grid 75.91,Statewide / multiple districts,Chennai,Chennai North,75.91,0.11214930994207804,8.513254117703143,PM Surya Ghar district installation share used as a dispersed-small-system proxy because no complete district-level off-grid inventory was located,https://sansad.in/getFile/lsapps/loksabhaquestions/annex/188/AS59_dKLc7G.pdf?source=lsapps,Low,Off-grid capacity is only 75.91 MW. This allocation is explicitly a proxy and should be replaced if a district PM-KUSUM/off-grid inventory becomes available.
tamil_nadu_n_a_off_grid_75_91__aggregate_01,183.0,Solar,Tamil Nadu N.A. Off -grid 75.91,Statewide / multiple districts,Coimbatore,Coimbatore,75.91,0.12782160989678926,9.702938407265272,PM Surya Ghar district installation share used as a dispersed-small-system proxy because no complete district-level off-grid inventory was located,https://sansad.in/getFile/lsapps/loksabhaquestions/annex/188/AS59_dKLc7G.pdf?source=lsapps,Low,Off-grid capacity is only 75.91 MW. This allocation is explicitly a proxy and should be replaced if a district PM-KUSUM/off-grid inventory becomes available.
tamil_nadu_n_a_off_grid_75_91__aggregate_01,183.0,Solar,Tamil Nadu N.A. Off -grid 75.91,Statewide / multiple districts,Cuddalore,Villupuram,75.91,0.02234643529664148,1.6963179033680547,PM Surya Ghar district installation share used as a dispersed-small-system proxy because no complete district-level off-grid inventory was located,https://sansad.in/getFile/lsapps/loksabhaquestions/annex/188/AS59_dKLc7G.pdf?source=lsapps,Low,Off-grid capacity is only 75.91 MW. This allocation is explicitly a proxy and should be replaced if a district PM-KUSUM/off-grid inventory becomes available.
tamil_nadu_n_a_off_grid_75_91__aggregate_01,183.0,Solar,Tamil Nadu N.A. Off -grid 75.91,Statewide / multiple districts,Dharmapuri,Vellore,75.91,0.007854027125592926,0.596199199103759,PM Surya Ghar district installation share used as a dispersed-small-system proxy because no complete district-level off-grid inventory was located,https://sansad.in/getFile/lsapps/loksabhaquestions/annex/188/AS59_dKLc7G.pdf?source=lsapps,Low,Off-grid capacity is only 75.91 MW. This allocation is explicitly a proxy and should be replaced if a district PM-KUSUM/off-grid inventory becomes available.
tamil_nadu_n_a_off_grid_75_91__aggregate_01,183.0,Solar,Tamil Nadu N.A. Off -grid 75.91,Statewide / multiple districts,Dindigul,Madurai,75.91,0.014563916763997807,1.1055469215550735,PM Surya Ghar district installation share used as a dispersed-small-system proxy because no complete district-level off-grid inventory was located,https://sansad.in/getFile/lsapps/loksabhaquestions/annex/188/AS59_dKLc7G.pdf?source=lsapps,Low,Off-grid capacity is only 75.91 MW. This allocation is explicitly a proxy and should be replaced if a district PM-KUSUM/off-grid inventory becomes available.
tamil_nadu_n_a_off_grid_75_91__aggregate_01,183.0,Solar,Tamil Nadu N.A. Off -grid 75.91,Statewide / multiple districts,Erode,Erode,75.91,0.04783924868305008,3.631477367530332,PM Surya Ghar district installation share used as a dispersed-small-system proxy because no complete district-level off-grid inventory was located,https://sansad.in/getFile/lsapps/loksabhaquestions/annex/188/AS59_dKLc7G.pdf?source=lsapps,Low,Off-grid capacity is only 75.91 MW. This allocation is explicitly a proxy and should be replaced if a district PM-KUSUM/off-grid inventory becomes available.
tamil_nadu_n_a_off_grid_75_91__aggregate_01,183.0,Solar,Tamil Nadu N.A. Off -grid 75.91,Statewide / multiple districts,Kancheepuram,Chennai South,75.91,0.11160107739613377,8.471637785140514,PM Surya Ghar district installation share used as a dispersed-small-system proxy because no complete district-level off-grid inventory was located,https://sansad.in/getFile/lsapps/loksabhaquestions/annex/188/AS59_dKLc7G.pdf?source=lsapps,Low,Off-grid capacity is only 75.91 MW. This allocation is explicitly a proxy and should be replaced if a district PM-KUSUM/off-grid inventory becomes available.
tamil_nadu_n_a_off_grid_75_91__aggregate_01,183.0,Solar,Tamil Nadu N.A. Off -grid 75.91,Statewide / multiple districts,Kanniyakumari,Tirunelveli,75.91,0.022191500011918098,1.6845567659047027,PM Surya Ghar district installation share used as a dispersed-small-system proxy because no complete district-level off-grid inventory was located,https://sansad.in/getFile/lsapps/loksabhaquestions/annex/188/AS59_dKLc7G.pdf?source=lsapps,Low,Off-grid capacity is only 75.91 MW. This allocation is explicitly a proxy and should be replaced if a district PM-KUSUM/off-grid inventory becomes available.
tamil_nadu_n_a_off_grid_75_91__aggregate_01,183.0,Solar,Tamil Nadu N.A. Off -grid 75.91,Statewide / multiple districts,Karur,Trichy,75.91,0.02638667079827426,2.003012180296999,PM Surya Ghar district installation share used as a dispersed-small-system proxy because no complete district-level off-grid inventory was located,https://sansad.in/getFile/lsapps/loksabhaquestions/annex/188/AS59_dKLc7G.pdf?source=lsapps,Low,Off-grid capacity is only 75.91 MW. This allocation is explicitly a proxy and should be replaced if a district PM-KUSUM/off-grid inventory becomes available.
tamil_nadu_n_a_off_grid_75_91__aggregate_01,183.0,Solar,Tamil Nadu N.A. Off -grid 75.91,Statewide / multiple districts,Krishnagiri,Vellore,75.91,0.01085738802946154,0.8241843253164255,PM Surya Ghar district installation share used as a dispersed-small-system proxy because no complete district-level off-grid inventory was located,https://sansad.in/getFile/lsapps/loksabhaquestions/annex/188/AS59_dKLc7G.pdf?source=lsapps,Low,Off-grid capacity is only 75.91 MW. This allocation is explicitly a proxy and should be replaced if a district PM-KUSUM/off-grid inventory becomes available.
tamil_nadu_n_a_off_grid_75_91__aggregate_01,183.0,Solar,Tamil Nadu N.A. Off -grid 75.91,Statewide / multiple districts,Madurai,Madurai,75.91,0.04002097585393178,3.0379922770719614,PM Surya Ghar district installation share used as a dispersed-small-system proxy because no complete district-level off-grid inventory was located,https://sansad.in/getFile/lsapps/loksabhaquestions/annex/188/AS59_dKLc7G.pdf?source=lsapps,Low,Off-grid capacity is only 75.91 MW. This allocation is explicitly a proxy and should be replaced if a district PM-KUSUM/off-grid inventory becomes available.
tamil_nadu_n_a_off_grid_75_91__aggregate_01,183.0,Solar,Tamil Nadu N.A. Off -grid 75.91,Statewide / multiple districts,Nagapattinam,Trichy,75.91,0.009772841036397873,0.7418563630729625,PM Surya Ghar district installation share used as a dispersed-small-system proxy because no complete district-level off-grid inventory was located,https://sansad.in/getFile/lsapps/loksabhaquestions/annex/188/AS59_dKLc7G.pdf?source=lsapps,Low,Off-grid capacity is only 75.91 MW. This allocation is explicitly a proxy and should be replaced if a district PM-KUSUM/off-grid inventory becomes available.
tamil_nadu_n_a_off_grid_75_91__aggregate_01,183.0,Solar,Tamil Nadu N.A. Off -grid 75.91,Statewide / multiple districts,Namakkal,Erode,75.91,0.045598646103973496,3.461393225752628,PM Surya Ghar district installation share used as a dispersed-small-system proxy because no complete district-level off-grid inventory was located,https://sansad.in/getFile/lsapps/loksabhaquestions/annex/188/AS59_dKLc7G.pdf?source=lsapps,Low,Off-grid capacity is only 75.91 MW. This allocation is explicitly a proxy and should be replaced if a district PM-KUSUM/off-grid inventory becomes available.
tamil_nadu_n_a_off_grid_75_91__aggregate_01,183.0,Solar,Tamil Nadu N.A. Off -grid 75.91,Statewide / multiple districts,The Nilgiris,Coimbatore,75.91,0.0014540080566348057,0.1103737515791481,PM Surya Ghar district installation share used as a dispersed-small-system proxy because no complete district-level off-grid inventory was located,https://sansad.in/getFile/lsapps/loksabhaquestions/annex/188/AS59_dKLc7G.pdf?source=lsapps,Low,Off-grid capacity is only 75.91 MW. This allocation is explicitly a proxy and should be replaced if a district PM-KUSUM/off-grid inventory becomes available.
tamil_nadu_n_a_off_grid_75_91__aggregate_01,183.0,Solar,Tamil Nadu N.A. Off -grid 75.91,Statewide / multiple districts,Perambalur,Trichy,75.91,0.003372821967439754,0.2560309155483517,PM Surya Ghar district installation share used as a dispersed-small-system proxy because no complete district-level off-grid inventory was located,https://sansad.in/getFile/lsapps/loksabhaquestions/annex/188/AS59_dKLc7G.pdf?source=lsapps,Low,Off-grid capacity is only 75.91 MW. This allocation is explicitly a proxy and should be replaced if a district PM-KUSUM/off-grid inventory becomes available.
tamil_nadu_n_a_off_grid_75_91__aggregate_01,183.0,Solar,Tamil Nadu N.A. Off -grid 75.91,Statewide / multiple districts,Pudukkottai,Trichy,75.91,0.007150859294925273,0.5428217290777775,PM Surya Ghar district installation share used as a dispersed-small-system proxy because no complete district-level off-grid inventory was located,https://sansad.in/getFile/lsapps/loksabhaquestions/annex/188/AS59_dKLc7G.pdf?source=lsapps,Low,Off-grid capacity is only 75.91 MW. This allocation is explicitly a proxy and should be replaced if a district PM-KUSUM/off-grid inventory becomes available.
tamil_nadu_n_a_off_grid_75_91__aggregate_01,183.0,Solar,Tamil Nadu N.A. Off -grid 75.91,Statewide / multiple districts,Ramanathapuram,Madurai,75.91,0.006519200057206874,0.49487247634257375,PM Surya Ghar district installation share used as a dispersed-small-system proxy because no complete district-level off-grid inventory was located,https://sansad.in/getFile/lsapps/loksabhaquestions/annex/188/AS59_dKLc7G.pdf?source=lsapps,Low,Off-grid capacity is only 75.91 MW. This allocation is explicitly a proxy and should be replaced if a district PM-KUSUM/off-grid inventory becomes available.
tamil_nadu_n_a_off_grid_75_91__aggregate_01,183.0,Solar,Tamil Nadu N.A. Off -grid 75.91,Statewide / multiple districts,Salem,Erode,75.91,0.047159917050032175,3.579909303267942,PM Surya Ghar district installation share used as a dispersed-small-system proxy because no complete district-level off-grid inventory was located,https://sansad.in/getFile/lsapps/loksabhaquestions/annex/188/AS59_dKLc7G.pdf?source=lsapps,Low,Off-grid capacity is only 75.91 MW. This allocation is explicitly a proxy and should be replaced if a district PM-KUSUM/off-grid inventory becomes available.
tamil_nadu_n_a_off_grid_75_91__aggregate_01,183.0,Solar,Tamil Nadu N.A. Off -grid 75.91,Statewide / multiple districts,Sivagangai,Madurai,75.91,0.00930803518222773,0.7065729506829069,PM Surya Ghar district installation share used as a dispersed-small-system proxy because no complete district-level off-grid inventory was located,https://sansad.in/getFile/lsapps/loksabhaquestions/annex/188/AS59_dKLc7G.pdf?source=lsapps,Low,Off-grid capacity is only 75.91 MW. This allocation is explicitly a proxy and should be replaced if a district PM-KUSUM/off-grid inventory becomes available.
tamil_nadu_n_a_off_grid_75_91__aggregate_01,183.0,Solar,Tamil Nadu N.A. Off -grid 75.91,Statewide / multiple districts,Thanjavur,Trichy,75.91,0.0313207637117727,2.3775591733606656,PM Surya Ghar district installation share used as a dispersed-small-system proxy because no complete district-level off-grid inventory was located,https://sansad.in/getFile/lsapps/loksabhaquestions/annex/188/AS59_dKLc7G.pdf?source=lsapps,Low,Off-grid capacity is only 75.91 MW. This allocation is explicitly a proxy and should be replaced if a district PM-KUSUM/off-grid inventory becomes available.
tamil_nadu_n_a_off_grid_75_91__aggregate_01,183.0,Solar,Tamil Nadu N.A. Off -grid 75.91,Statewide / multiple districts,Theni,Madurai,75.91,0.007234285986699402,0.5491546492503516,PM Surya Ghar district installation share used as a dispersed-small-system proxy because no complete district-level off-grid inventory was located,https://sansad.in/getFile/lsapps/loksabhaquestions/annex/188/AS59_dKLc7G.pdf?source=lsapps,Low,Off-grid capacity is only 75.91 MW. This allocation is explicitly a proxy and should be replaced if a district PM-KUSUM/off-grid inventory becomes available.
tamil_nadu_n_a_off_grid_75_91__aggregate_01,183.0,Solar,Tamil Nadu N.A. Off -grid 75.91,Statewide / multiple districts,Thiruvarur,Trichy,75.91,0.011262603389507306,0.8549442232974995,PM Surya Ghar district installation share used as a dispersed-small-system proxy because no complete district-level off-grid inventory was located,https://sansad.in/getFile/lsapps/loksabhaquestions/annex/188/AS59_dKLc7G.pdf?source=lsapps,Low,Off-grid capacity is only 75.91 MW. This allocation is explicitly a proxy and should be replaced if a district PM-KUSUM/off-grid inventory becomes available.
tamil_nadu_n_a_off_grid_75_91__aggregate_01,183.0,Solar,Tamil Nadu N.A. Off -grid 75.91,Statewide / multiple districts,Thoothukudi,Tirunelveli,75.91,0.021905465640121087,1.6628438967415917,PM Surya Ghar district installation share used as a dispersed-small-system proxy because no complete district-level off-grid inventory was located,https://sansad.in/getFile/lsapps/loksabhaquestions/annex/188/AS59_dKLc7G.pdf?source=lsapps,Low,Off-grid capacity is only 75.91 MW. This allocation is explicitly a proxy and should be replaced if a district PM-KUSUM/off-grid inventory becomes available.
tamil_nadu_n_a_off_grid_75_91__aggregate_01,183.0,Solar,Tamil Nadu N.A. Off -grid 75.91,Statewide / multiple districts,Tiruchirappalli,Trichy,75.91,0.046468667318189404,3.5274365361237576,PM Surya Ghar district installation share used as a dispersed-small-system proxy because no complete district-level off-grid inventory was located,https://sansad.in/getFile/lsapps/loksabhaquestions/annex/188/AS59_dKLc7G.pdf?source=lsapps,Low,Off-grid capacity is only 75.91 MW. This allocation is explicitly a proxy and should be replaced if a district PM-KUSUM/off-grid inventory becomes available.
tamil_nadu_n_a_off_grid_75_91__aggregate_01,183.0,Solar,Tamil Nadu N.A. Off -grid 75.91,Statewide / multiple districts,Tirunelveli,Tirunelveli,75.91,0.030724858770528926,2.3323240292708505,PM Surya Ghar district installation share used as a dispersed-small-system proxy because no complete district-level off-grid inventory was located,https://sansad.in/getFile/lsapps/loksabhaquestions/annex/188/AS59_dKLc7G.pdf?source=lsapps,Low,Off-grid capacity is only 75.91 MW. This allocation is explicitly a proxy and should be replaced if a district PM-KUSUM/off-grid inventory becomes available.
tamil_nadu_n_a_off_grid_75_91__aggregate_01,183.0,Solar,Tamil Nadu N.A. Off -grid 75.91,Statewide / multiple districts,Tiruppur,Coimbatore,75.91,0.045169594546277975,3.428823922007961,PM Surya Ghar district installation share used as a dispersed-small-system proxy because no complete district-level off-grid inventory was located,https://sansad.in/getFile/lsapps/loksabhaquestions/annex/188/AS59_dKLc7G.pdf?source=lsapps,Low,Off-grid capacity is only 75.91 MW. This allocation is explicitly a proxy and should be replaced if a district PM-KUSUM/off-grid inventory becomes available.
tamil_nadu_n_a_off_grid_75_91__aggregate_01,183.0,Solar,Tamil Nadu N.A. Off -grid 75.91,Statewide / multiple districts,Tiruvallur,Chennai North,75.91,0.042428431816556623,3.220742259194813,PM Surya Ghar district installation share used as a dispersed-small-system proxy because no complete district-level off-grid inventory was located,https://sansad.in/getFile/lsapps/loksabhaquestions/annex/188/AS59_dKLc7G.pdf?source=lsapps,Low,Off-grid capacity is only 75.91 MW. This allocation is explicitly a proxy and should be replaced if a district PM-KUSUM/off-grid inventory becomes available.
tamil_nadu_n_a_off_grid_75_91__aggregate_01,183.0,Solar,Tamil Nadu N.A. Off -grid 75.91,Statewide / multiple districts,Tiruvannamalai,Villupuram,75.91,0.012347150382570973,0.9372721855409625,PM Surya Ghar district installation share used as a dispersed-small-system proxy because no complete district-level off-grid inventory was located,https://sansad.in/getFile/lsapps/loksabhaquestions/annex/188/AS59_dKLc7G.pdf?source=lsapps,Low,Off-grid capacity is only 75.91 MW. This allocation is explicitly a proxy and should be replaced if a district PM-KUSUM/off-grid inventory becomes available.
tamil_nadu_n_a_off_grid_75_91__aggregate_01,183.0,Solar,Tamil Nadu N.A. Off -grid 75.91,Statewide / multiple districts,Vellore,Vellore,75.91,0.030808285462303055,2.3386569494434246,PM Surya Ghar district installation share used as a dispersed-small-system proxy because no complete district-level off-grid inventory was located,https://sansad.in/getFile/lsapps/loksabhaquestions/annex/188/AS59_dKLc7G.pdf?source=lsapps,Low,Off-grid capacity is only 75.91 MW. This allocation is explicitly a proxy and should be replaced if a district PM-KUSUM/off-grid inventory becomes available.
tamil_nadu_n_a_off_grid_75_91__aggregate_01,183.0,Solar,Tamil Nadu N.A. Off -grid 75.91,Statewide / multiple districts,Viluppuram,Villupuram,75.91,0.018532643672681332,1.40681298119324,PM Surya Ghar district installation share used as a dispersed-small-system proxy because no complete district-level off-grid inventory was located,https://sansad.in/getFile/lsapps/loksabhaquestions/annex/188/AS59_dKLc7G.pdf?source=lsapps,Low,Off-grid capacity is only 75.91 MW. This allocation is explicitly a proxy and should be replaced if a district PM-KUSUM/off-grid inventory becomes available.
tamil_nadu_n_a_off_grid_75_91__aggregate_01,183.0,Solar,Tamil Nadu N.A. Off -grid 75.91,Statewide / multiple districts,Virudhunagar,Tirunelveli,75.91,0.025373632398159846,1.9261124353443138,PM Surya Ghar district installation share used as a dispersed-small-system proxy because no complete district-level off-grid inventory was located,https://sansad.in/getFile/lsapps/loksabhaquestions/annex/188/AS59_dKLc7G.pdf?source=lsapps,Low,Off-grid capacity is only 75.91 MW. This allocation is explicitly a proxy and should be replaced if a district PM-KUSUM/off-grid inventory becomes available.
tamil_nadu_n_a_others_districts_not_specified_8930_85__aggregate_01,184.0,Solar,Tamil Nadu N.A. Others (Districts not specified) 8930.85,Statewide / multiple districts,Ariyalur,Trichy,8930.85,0.0021921444132108024,19.577712932723696,"Hybrid utility-scale target: supplied OSM/Overpass plant footprints and MW tags, calibrated at 49.71 MW/km² for untagged plants; official district-handbook capacities used as lower-bound anchors; residual normalized after retaining directly allocated ICED capacity",https://www.openstreetmap.org/copyright | Tamil Nadu district statistical handbooks (see Solar District Evidence),Medium,This is a modelled distribution of an ICED statewide residual. It preserves the source-row total and avoids treating resource potential as installed capacity.
tamil_nadu_n_a_others_districts_not_specified_8930_85__aggregate_01,184.0,Solar,Tamil Nadu N.A. Others (Districts not specified) 8930.85,Statewide / multiple districts,Coimbatore,Coimbatore,8930.85,0.006703240490444089,59.8656353340826,"Hybrid utility-scale target: supplied OSM/Overpass plant footprints and MW tags, calibrated at 49.71 MW/km² for untagged plants; official district-handbook capacities used as lower-bound anchors; residual normalized after retaining directly allocated ICED capacity",https://www.openstreetmap.org/copyright | Tamil Nadu district statistical handbooks (see Solar District Evidence),Medium,This is a modelled distribution of an ICED statewide residual. It preserves the source-row total and avoids treating resource potential as installed capacity.
tamil_nadu_n_a_others_districts_not_specified_8930_85__aggregate_01,184.0,Solar,Tamil Nadu N.A. Others (Districts not specified) 8930.85,Statewide / multiple districts,Cuddalore,Villupuram,8930.85,0.02051816843040346,183.24468452666875,"Hybrid utility-scale target: supplied OSM/Overpass plant footprints and MW tags, calibrated at 49.71 MW/km² for untagged plants; official district-handbook capacities used as lower-bound anchors; residual normalized after retaining directly allocated ICED capacity",https://www.openstreetmap.org/copyright | Tamil Nadu district statistical handbooks (see Solar District Evidence),Medium,This is a modelled distribution of an ICED statewide residual. It preserves the source-row total and avoids treating resource potential as installed capacity.
tamil_nadu_n_a_others_districts_not_specified_8930_85__aggregate_01,184.0,Solar,Tamil Nadu N.A. Others (Districts not specified) 8930.85,Statewide / multiple districts,Dharmapuri,Vellore,8930.85,0.0011862281457108077,10.594025635121367,"Hybrid utility-scale target: supplied OSM/Overpass plant footprints and MW tags, calibrated at 49.71 MW/km² for untagged plants; official district-handbook capacities used as lower-bound anchors; residual normalized after retaining directly allocated ICED capacity",https://www.openstreetmap.org/copyright | Tamil Nadu district statistical handbooks (see Solar District Evidence),Medium,This is a modelled distribution of an ICED statewide residual. It preserves the source-row total and avoids treating resource potential as installed capacity.
tamil_nadu_n_a_others_districts_not_specified_8930_85__aggregate_01,184.0,Solar,Tamil Nadu N.A. Others (Districts not specified) 8930.85,Statewide / multiple districts,Dindigul,Madurai,8930.85,0.0931109050578741,831.559526436115,"Hybrid utility-scale target: supplied OSM/Overpass plant footprints and MW tags, calibrated at 49.71 MW/km² for untagged plants; official district-handbook capacities used as lower-bound anchors; residual normalized after retaining directly allocated ICED capacity",https://www.openstreetmap.org/copyright | Tamil Nadu district statistical handbooks (see Solar District Evidence),Medium,This is a modelled distribution of an ICED statewide residual. It preserves the source-row total and avoids treating resource potential as installed capacity.
tamil_nadu_n_a_others_districts_not_specified_8930_85__aggregate_01,184.0,Solar,Tamil Nadu N.A. Others (Districts not specified) 8930.85,Statewide / multiple districts,Erode,Erode,8930.85,0.005670807625050253,50.64513227818005,"Hybrid utility-scale target: supplied OSM/Overpass plant footprints and MW tags, calibrated at 49.71 MW/km² for untagged plants; official district-handbook capacities used as lower-bound anchors; residual normalized after retaining directly allocated ICED capacity",https://www.openstreetmap.org/copyright | Tamil Nadu district statistical handbooks (see Solar District Evidence),Medium,This is a modelled distribution of an ICED statewide residual. It preserves the source-row total and avoids treating resource potential as installed capacity.
tamil_nadu_n_a_others_districts_not_specified_8930_85__aggregate_01,184.0,Solar,Tamil Nadu N.A. Others (Districts not specified) 8930.85,Statewide / multiple districts,Kancheepuram,Chennai South,8930.85,0.0033548101820484156,29.961306514347093,"Hybrid utility-scale target: supplied OSM/Overpass plant footprints and MW tags, calibrated at 49.71 MW/km² for untagged plants; official district-handbook capacities used as lower-bound anchors; residual normalized after retaining directly allocated ICED capacity",https://www.openstreetmap.org/copyright | Tamil Nadu district statistical handbooks (see Solar District Evidence),Medium,This is a modelled distribution of an ICED statewide residual. It preserves the source-row total and avoids treating resource potential as installed capacity.
tamil_nadu_n_a_others_districts_not_specified_8930_85__aggregate_01,184.0,Solar,Tamil Nadu N.A. Others (Districts not specified) 8930.85,Statewide / multiple districts,Kanniyakumari,Tirunelveli,8930.85,0.00011283154260384993,1.0076815822635932,"Hybrid utility-scale target: supplied OSM/Overpass plant footprints and MW tags, calibrated at 49.71 MW/km² for untagged plants; official district-handbook capacities used as lower-bound anchors; residual normalized after retaining directly allocated ICED capacity",https://www.openstreetmap.org/copyright | Tamil Nadu district statistical handbooks (see Solar District Evidence),Medium,This is a modelled distribution of an ICED statewide residual. It preserves the source-row total and avoids treating resource potential as installed capacity.
tamil_nadu_n_a_others_districts_not_specified_8930_85__aggregate_01,184.0,Solar,Tamil Nadu N.A. Others (Districts not specified) 8930.85,Statewide / multiple districts,Karur,Trichy,8930.85,0.0520230269035102,464.6098498212141,"Hybrid utility-scale target: supplied OSM/Overpass plant footprints and MW tags, calibrated at 49.71 MW/km² for untagged plants; official district-handbook capacities used as lower-bound anchors; residual normalized after retaining directly allocated ICED capacity",https://www.openstreetmap.org/copyright | Tamil Nadu district statistical handbooks (see Solar District Evidence),Medium,This is a modelled distribution of an ICED statewide residual. It preserves the source-row total and avoids treating resource potential as installed capacity.
tamil_nadu_n_a_others_districts_not_specified_8930_85__aggregate_01,184.0,Solar,Tamil Nadu N.A. Others (Districts not specified) 8930.85,Statewide / multiple districts,Krishnagiri,Vellore,8930.85,0.0008285933978097476,7.400043346829184,"Hybrid utility-scale target: supplied OSM/Overpass plant footprints and MW tags, calibrated at 49.71 MW/km² for untagged plants; official district-handbook capacities used as lower-bound anchors; residual normalized after retaining directly allocated ICED capacity",https://www.openstreetmap.org/copyright | Tamil Nadu district statistical handbooks (see Solar District Evidence),Medium,This is a modelled distribution of an ICED statewide residual. It preserves the source-row total and avoids treating resource potential as installed capacity.
tamil_nadu_n_a_others_districts_not_specified_8930_85__aggregate_01,184.0,Solar,Tamil Nadu N.A. Others (Districts not specified) 8930.85,Statewide / multiple districts,Madurai,Madurai,8930.85,0.008100094053174575,72.34072497479416,"Hybrid utility-scale target: supplied OSM/Overpass plant footprints and MW tags, calibrated at 49.71 MW/km² for untagged plants; official district-handbook capacities used as lower-bound anchors; residual normalized after retaining directly allocated ICED capacity",https://www.openstreetmap.org/copyright | Tamil Nadu district statistical handbooks (see Solar District Evidence),Medium,This is a modelled distribution of an ICED statewide residual. It preserves the source-row total and avoids treating resource potential as installed capacity.
tamil_nadu_n_a_others_districts_not_specified_8930_85__aggregate_01,184.0,Solar,Tamil Nadu N.A. Others (Districts not specified) 8930.85,Statewide / multiple districts,Nagapattinam,Trichy,8930.85,0.00041950283271898755,3.7465168735883703,"Hybrid utility-scale target: supplied OSM/Overpass plant footprints and MW tags, calibrated at 49.71 MW/km² for untagged plants; official district-handbook capacities used as lower-bound anchors; residual normalized after retaining directly allocated ICED capacity",https://www.openstreetmap.org/copyright | Tamil Nadu district statistical handbooks (see Solar District Evidence),Medium,This is a modelled distribution of an ICED statewide residual. It preserves the source-row total and avoids treating resource potential as installed capacity.
tamil_nadu_n_a_others_districts_not_specified_8930_85__aggregate_01,184.0,Solar,Tamil Nadu N.A. Others (Districts not specified) 8930.85,Statewide / multiple districts,Namakkal,Erode,8930.85,0.008804788710388303,78.63424725417138,"Hybrid utility-scale target: supplied OSM/Overpass plant footprints and MW tags, calibrated at 49.71 MW/km² for untagged plants; official district-handbook capacities used as lower-bound anchors; residual normalized after retaining directly allocated ICED capacity",https://www.openstreetmap.org/copyright | Tamil Nadu district statistical handbooks (see Solar District Evidence),Medium,This is a modelled distribution of an ICED statewide residual. It preserves the source-row total and avoids treating resource potential as installed capacity.
tamil_nadu_n_a_others_districts_not_specified_8930_85__aggregate_01,184.0,Solar,Tamil Nadu N.A. Others (Districts not specified) 8930.85,Statewide / multiple districts,Perambalur,Trichy,8930.85,0.004284603523323737,38.2651513762758,"Hybrid utility-scale target: supplied OSM/Overpass plant footprints and MW tags, calibrated at 49.71 MW/km² for untagged plants; official district-handbook capacities used as lower-bound anchors; residual normalized after retaining directly allocated ICED capacity",https://www.openstreetmap.org/copyright | Tamil Nadu district statistical handbooks (see Solar District Evidence),Medium,This is a modelled distribution of an ICED statewide residual. It preserves the source-row total and avoids treating resource potential as installed capacity.
